  UID     PID    PPID %MEM CMD
 1000    1257    1214  0.5     /usr/libexec/tracker-miner-fs
 1000    1263    1214  0.4     /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1000    1270    1214  0.1     /usr/libexec/gvfsd
 1000    2033    1270  0.1       /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
 1000   17533    1270  0.2       /usr/libexec/gvfsd-smb --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
 1000   53866    1270  0.1       /usr/libexec/gvfsd-network --spawner :1.2 /org/gtk/gvfs/exec_spaw/2
 1000   53884    1270  0.1       /usr/libexec/gvfsd-dnssd --spawner :1.2 /org/gtk/gvfs/exec_spaw/4
 1000    1275    1214  0.0     /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1000    1299    1214  0.2     /usr/libexec/gvfs-udisks2-volume-monitor
 1000    1315    1214  0.1     /usr/libexec/gvfs-goa-volume-monitor
 1000    1320    1214  0.1     /usr/libexec/goa-daemon
 1000    1337    1214  0.1     /usr/libexec/goa-identity-service
 1000    1344    1214  0.1     /usr/libexec/gvfs-gphoto2-volume-monitor
 1000    1352    1214  0.1     /usr/libexec/gvfs-afc-volume-monitor
 1000    1383    1214  0.1     /usr/libexec/gvfs-mtp-volume-monitor
 1000    1888    1214  0.1     /usr/libexec/at-spi-bus-launcher
 1000    1894    1888  0.1       /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1000    1899    1214  0.0     /usr/libexec/gnome-session-ctl --monitor
 1000    1906    1214  0.2     /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
 1000    2170    1906  0.1       /usr/libexec/gsd-disk-utility-notify
 1000    2174    1906  0.2       /usr/bin/prlcc
 1000    2183    2174  0.0         /usr/bin/prldnd
 1000    2184    2174  0.1         /usr/bin/prlcp
 1000    2185    2174  0.2         /usr/bin/prlsga
 1000    2186    2174  0.0         /usr/bin/prlshprof
 1000    2195    1906  0.2       /usr/libexec/evolution-data-server/evolution-alarm-notify
 1000    2747    1906  0.6       update-notifier
 1000    1971    1214  0.1     /usr/libexec/at-spi2-registryd --use-gnome-session
 1000    1975    1214  0.1     /usr/libexec/xdg-permission-store
